SEQ_VALUE,MSG_TIME_STAMP,HEAT_NUMBER,AGGREGATE,AL_KGS,AL_MTS,MSG_FLAG,UPDATE_DATE
10345,2022-06-02 12:23:40.673,22302660,LF3,233.488974873684,700.466924621053,C,2022-06-02 12:23:49.220
10344,2022-06-02 12:16:06.143,22202671,LF2,183.553539589474,550.660618768421,C,2022-06-02 12:16:19.580
10343,2022-06-02 12:15:57.827,22202671,LF2,183.553539589474,550.660618768421,C,2022-06-02 12:16:19.513
10342,2022-06-02 12:15:54.033,22202671,LF2,183.553539589474,550.660618768421,C,2022-06-02 12:16:19.417
10341,2022-06-02 11:44:20.853,22402726,LF4,204.188312505263,612.564937515789,C,2022-06-02 11:44:49.160
10340,2022-06-02 11:07:45.857,22302659,LF3,137.4433534,412.3300602,C,2022-06-02 11:07:49.170
10339,2022-06-02 10:19:40.840,22202669,LF1,140.200287089474,420.600861268421,C,2022-06-02 10:19:49.090
10338,2022-06-02 09:55:40.840,22302658,LF3,212.390247952632,637.170743857895,C,2022-06-02 09:55:49.053
10337,2022-06-02 09:27:03.260,22402724,LF1,260.110167989474,780.330503968421,C,2022-06-02 09:27:19.133
10336,2022-06-02 09:16:51.583,22202668,LF2,15.8080179,47.4240537,C,2022-06-02 09:17:19.060
10335,2022-06-02 09:16:51.517,22202668,LF2,15.8080179,47.4240537,C,2022-06-02 09:17:19.157
10334,2022-06-02 09:16:51.327,22202668,LF2,15.8080179,47.4240537,C,2022-06-02 09:17:19.200
10333,2022-06-02 08:46:01.507,22302657,LF3,223.997811757895,671.993435273684,C,2022-06-02 08:46:21.537
10332,2022-06-02 08:45:55.173,22302657,LF3,223.997811757895,671.993435273684,C,2022-06-02 08:46:21.280
10331,2022-06-02 07:44:20.483,22202667,LF2,188.064441194737,564.19332358421,C,2022-06-02 07:44:48.950
10330,2022-06-02 07:22:45.027,22302656,LF3,146.672143489474,440.016430468421,C,2022-06-02 07:22:48.967
10329,2022-06-02 06:47:40.723,22102643,LF1,173.162093089474,519.486279268421,C,2022-06-02 06:47:48.883
10328,2022-06-02 06:21:03.447,22402722,LF4,154.573039089474,463.719117268421,C,2022-06-02 06:21:18.860
10327,2022-06-02 06:20:46.037,22202666,LF2,20.1324126,60.3972377999999,C,2022-06-02 06:20:48.890
10326,2022-06-02 05:28:20.783,22402721,LF4,184.060617789474,552.181853368421,C,2022-06-02 05:28:48.917
10325,2022-06-02 05:10:20.420,22102642,LF1,70.8538201894737,212.561460568421,C,2022-06-02 05:10:48.927
10324,2022-06-02 04:33:00.817,22302654,LF3,143.037998589474,429.113995768421,C,2022-06-02 04:33:18.903
10323,2022-06-02 03:57:00.600,22102641,LF1,99.7505194,299.2515582,C,2022-06-02 03:57:18.787
10322,2022-06-02 03:49:40.410,22402720,LF4,10.3897341,31.1692022999999,C,2022-06-02 03:49:48.870
10321,2022-06-02 03:29:40.397,22202664,LF2,41.9500697315789,125.850209194737,C,2022-06-02 03:29:48.970
10320,2022-06-02 03:18:15.623,22302653,LF3,168.861973189474,506.585919568421,C,2022-06-02 03:18:18.850
10319,2022-06-02 02:40:20.397,22402719,LF4,185.651576847368,556.954730542105,C,2022-06-02 02:40:48.627
10318,2022-06-02 02:39:45.617,22102640,LF1,93.5137382894736,280.541214868421,C,2022-06-02 02:39:48.827
10317,2022-06-02 02:10:20.397,22302652,LF1,249.2053598,747.6160794,C,2022-06-02 02:10:48.687
10316,2022-06-02 01:34:20.390,22402718,LF4,268.619556105263,805.85866831579,C,2022-06-02 01:34:48.607
10315,2022-06-02 01:27:03.307,22102639,LF1,228.901663957895,686.704991873684,C,2022-06-02 01:27:18.777
10314,2022-06-02 00:48:20.410,22302651,LF3,268.530219652632,805.590658957895,C,2022-06-02 00:48:48.647
10313,2022-06-02 00:22:25.263,22402717,LF4,190.465768821053,571.397306463158,C,2022-06-02 00:22:48.570
10312,2022-06-01 23:54:21.187,22102638,LF1,232.858113410526,698.574340231579,C,2022-06-01 23:54:48.677
10311,2022-06-01 23:34:21.167,22202661,LF4,320.028913526316,960.086740578947,C,2022-06-01 23:34:48.603
10310,2022-06-01 22:38:20.780,22102637,LF1,131.078800384211,393.236401152632,C,2022-06-01 22:38:48.443
10309,2022-06-01 22:23:40.770,22302649,LF3,377.021423142105,1131.06426942632,C,2022-06-01 22:23:48.503
10308,2022-06-01 21:28:20.447,22102636,LF1,284.275069463158,852.825208389474,C,2022-06-01 21:28:48.547
10307,2022-06-01 21:24:20.433,22202660,LF4,189.53612728421,568.608381852632,C,2022-06-01 21:24:48.453
10306,2022-06-01 20:45:00.630,22102635,LF1,201.962133663158,605.886400989474,C,2022-06-01 20:45:18.870
10305,2022-06-01 19:53:02.543,22402716,LF4,109.5881246,328.7643738,C,2022-06-01 19:53:18.413
10304,2022-06-01 19:42:20.473,22202659,LF2,137.005149621053,411.015448863158,C,2022-06-01 19:42:48.347
10303,2022-06-01 18:43:25.183,22402715,LF4,173.475652,520.426956,C,2022-06-01 18:43:48.350
10302,2022-06-01 18:30:20.210,22102634,LF1,206.480544536842,619.441633610526,C,2022-06-01 18:30:48.507
10301,2022-06-01 17:59:45.587,22102633,LF1,233.848947747368,701.546843242105,C,2022-06-01 17:59:48.190
10300,2022-06-01 17:58:58.483,22302646,LF3,248.674165226316,746.022495678947,C,2022-06-01 17:59:18.227
10299,2022-06-01 17:04:20.493,22402714,LF4,237.098372757895,711.295118273684,C,2022-06-01 17:04:48.173
10298,2022-06-01 16:40:58.927,22302645,LF2,293.426130473684,880.278391421052,C,2022-06-01 16:41:18.257
10297,2022-06-01 15:55:40.627,22402713,LF4,155.7065774,467.1197322,C,2022-06-01 15:55:48.417
10296,2022-06-01 15:37:40.310,22102632,LF1,241.697859336842,725.093578010526,C,2022-06-01 15:37:48.203
10295,2022-06-01 15:17:42.060,22302644,LF3,282.274570252632,846.823710757895,C,2022-06-01 15:17:48.087
10294,2022-06-01 14:10:20.567,22402712,LF4,243.580574726316,730.741724178947,C,2022-06-01 14:10:48.027
10293,2022-06-01 13:59:03.263,22302643,LF2,168.084761810526,504.254285431579,C,2022-06-01 13:59:18.127
10292,2022-06-01 13:24:46.753,22402711,LF4,189.6583922,568.9751766,C,2022-06-01 13:24:48.067
10291,2022-06-01 13:03:25.820,22102630,LF1,272.2655902,816.7967706,C,2022-06-01 13:03:48.133
10290,2022-06-01 11:57:25.850,22402710,LF4,71.2302834,213.6908502,C,2022-06-01 11:57:47.950
10289,2022-06-01 11:29:00.913,22102629,LF1,277.6958602,833.0875806,C,2022-06-01 11:29:17.963
10288,2022-06-01 11:16:28.720,22302641,LF3,92.0301709,276.0905127,C,2022-06-01 11:16:50.173
10287,2022-06-01 11:16:27.070,22302641,LF3,92.0301709,276.0905127,C,2022-06-01 11:16:51.297
10286,2022-06-01 11:16:25.950,22302641,LF3,92.0301709,276.0905127,C,2022-06-01 11:16:51.783
10285,2022-06-01 10:43:41.233,22402709,LF4,147.998711489474,443.996134468421,C,2022-06-01 10:43:47.807
10284,2022-06-01 10:39:01.000,22102628,LF1,281.804081426316,845.412244278947,C,2022-06-01 10:39:17.890
10283,2022-06-01 10:05:41.233,22202657,LF2,152.2915612,456.8746836,C,2022-06-01 10:05:47.817
10282,2022-06-01 09:58:45.740,22302640,LF3,78.9867538052631,236.960261415789,C,2022-06-01 09:58:47.807
10281,2022-06-01 09:02:20.763,22102627,LF1,133.7144809,401.1434427,C,2022-06-01 09:02:47.760
10280,2022-06-01 08:57:14.313,22302639,LF3,82.1188616052631,246.356584815789,C,2022-06-01 08:57:17.863
10279,2022-06-01 08:10:20.740,22402707,LF4,200.671320757895,602.013962273684,C,2022-06-01 08:10:47.747
10278,2022-06-01 07:47:00.780,22102626,LF1,200.1463802,600.4391406,C,2022-06-01 07:47:17.813
10277,2022-06-01 07:33:15.777,22302638,LF3,171.0499902,513.1499706,C,2022-06-01 07:33:17.807
10276,2022-06-01 07:14:16.567,22202655,LF2,40.9483010894737,122.844903268421,C,2022-06-01 07:14:17.887
10275,2022-06-01 06:26:58.740,22302637,LF3,350.763943842105,1052.29183152632,C,2022-06-01 06:27:17.690
10274,2022-06-01 06:25:37.443,22102625,LF1,164.500056,493.500168,C,2022-06-01 06:25:47.867
10273,2022-06-01 05:20:20.957,22402705,LF4,234.466729726316,703.400189178947,C,2022-06-01 05:20:47.783
10272,2022-06-01 05:07:01.130,22102624,LF1,272.232825926316,816.698477778947,C,2022-06-01 05:07:17.543
10271,2022-06-01 04:42:21.270,22302636,LF3,290.2736048,870.8208144,C,2022-06-01 04:42:47.673
10270,2022-06-01 04:08:21.300,22202653,LF2,290.631864,871.895592,C,2022-06-01 04:08:47.533
10269,2022-06-01 03:31:41.307,22302635,LF3,188.296351989474,564.889055968421,C,2022-06-01 03:31:47.487
10268,2022-06-01 03:13:15.983,22202652,LF1,242.553775710526,727.661327131579,C,2022-06-01 03:13:17.517
10267,2022-06-01 02:50:58.780,22402703,LF4,175.973907,527.921721,C,2022-06-01 02:51:17.420
10266,2022-06-01 02:11:01.240,22302634,LF3,156.1945319,468.5835957,C,2022-06-01 02:11:17.350
10265,2022-06-01 02:09:15.977,22102622,LF1,261.181840652632,783.545521957895,C,2022-06-01 02:09:17.503
